1285768|142748|Revolving loans|9000.0|180000.0|180000.0||180000.0|FRIDAY|13|Y|1||||XAP|Approved|-336|XNA|XAP|Unaccompanied|Repeater|XNA|Cards|x-sell|AP+ (Cash loan)|6|XNA|0.0|XNA|Card X-Sell|-277.0|-257.0|365243.0|365243.0|365243.0|0.0
2393109|396305|Cash loans|10181.7|180000.0|180000.0||180000.0|THURSDAY|14|Y|1||||XNA|Approved|-700|Cash through the bank|XAP|Unaccompanied|Repeater|XNA|Cash|x-sell|AP+ (Cash loan)|6|XNA|24.0|low_normal|Cash X-Sell: low||||||
1173070|199178|Cash loans|4666.5|45000.0|49455.0||45000.0|SATURDAY|16|Y|1||||Everyday expenses|Refused|-584|XNA|HC||Repeater|XNA|Cash|walk-in|AP+ (Cash loan)|6|XNA|18.0|high|Cash Street: high||||||
1506815|166490|Cash loans|25454.025|450000.0|491580.0||450000.0|MONDAY|6|Y|1||||XNA|Refused|-401|Cash through the bank|HC|Unaccompanied|Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|24.0|low_normal|Cash X-Sell: low||||||
1182516|267782|Cash loans|20361.6|405000.0|451777.5||405000.0|SATURDAY|4|Y|1||||XNA|Approved|-686|Cash through the bank|XAP||Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|30.0|low_normal|Cash X-Sell: low|365243.0|-656.0|214.0|365243.0|365243.0|1.0
1172842|302212|Cash loans||0.0|0.0|||TUESDAY|9|Y|1||||XNA|Refused|-239|XNA|HC||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1172937|302212|Cash loans|39475.305|1129500.0|1277104.5||1129500.0|THURSDAY|5|Y|1||||XNA|Refused|-594|Cash through the bank|HC||Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|54.0|low_normal|Cash X-Sell: low||||||
1555330|199353|Cash loans||0.0|0.0|||SATURDAY|6|Y|1||||XNA|Canceled|-202|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1543131|275707|Cash loans|22619.52|229500.0|241920.0||229500.0|THURSDAY|8|Y|1||||XNA|Approved|-370|Cash through the bank|XAP|Unaccompanied|Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|12.0|low_normal|Cash X-Sell: low|365243.0|-340.0|-10.0|-10.0|-3.0|1.0
2536650|338725|Cash loans|16708.32|369000.0|369000.0||369000.0|WEDNESDAY|13|Y|1||||XNA|Approved|-1487|XNA|XAP||Repeater|XNA|Cash|x-sell|Country-wide|-1|Consumer electronics|48.0|middle|Cash X-Sell: middle|365243.0|-1457.0|-47.0|-47.0|-41.0|0.0
1676258|433469|Cash loans|22242.825|247500.0|268083.0|0.0|247500.0|THURSDAY|14|Y|1|0.0|||XNA|Approved|-1883|XNA|XAP||Repeater|XNA|Cash|x-sell|Country-wide|-1|Consumer electronics|18.0|high|Cash X-Sell: high|365243.0|-1853.0|-1343.0|-1343.0|-1334.0|1.0
2075578|418383|Consumer loans|7656.705|74610.0|65610.0|9000.0|74610.0|MONDAY|14|Y|1|0.13137405417260664|||XAP|Approved|-2702|Cash through the bank|XAP|Family|New|Mobile|POS|XNA|Stone|61|Connectivity|12.0|low_normal|POS mobile with interest|365243.0|-2671.0|-2341.0|-2341.0|-2332.0|0.0
1583704|315664|Cash loans||0.0|0.0|||WEDNESDAY|15|Y|1||||XNA|Refused|-430|XNA|HC||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
2138466|170289|Consumer loans|3286.485|32562.0|32562.0|0.0|32562.0|FRIDAY|12|Y|1|0.0|0.19691431485889155|0.8673361522198731|XAP|Approved|-307|Cash through the bank|XAP||Refreshed|Photo / Cinema Equipment|POS|XNA|Country-wide|20|Connectivity|12.0|middle|POS mobile with interest|365243.0|-273.0|57.0|-183.0|-179.0|0.0
2191093|182450|Consumer loans|9789.255|100485.0|100485.0|0.0|100485.0|WEDNESDAY|9|Y|1|0.0|||XAP|Approved|-391|Cash through the bank|XAP||Refreshed|Computers|POS|XNA|Stone|200|Consumer electronics|12.0|low_normal|POS household with interest|365243.0|-360.0|-30.0|-270.0|-261.0|0.0
1471931|257846|Cash loans||0.0|0.0|||MONDAY|12|Y|1||||XNA|Canceled|-302|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1478703|393511|Cash loans||0.0|0.0|||WEDNESDAY|19|Y|1||||XNA|Canceled|-152|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1629736|255331|Revolving loans|10125.0|202500.0|202500.0||202500.0|SATURDAY|14|Y|1||||XAP|Approved|-284|XNA|XAP|Unaccompanied|Repeater|XNA|Cards|x-sell|Credit and cash offices|-1|XNA|0.0|XNA|Card X-Sell|-265.0|-234.0|365243.0|365243.0|365243.0|0.0
2027074|208000|Consumer loans|12065.535|56655.0|66411.0|0.0|56655.0|SATURDAY|7|Y|1|0.0|||XAP|Approved|-676|Cash through the bank|XAP|Unaccompanied|Repeater|Audio/Video|POS|XNA|Country-wide|50|Consumer electronics|6.0|middle|POS household with interest|365243.0|-645.0|-495.0|-495.0|-493.0|0.0
2766278|178375|Consumer loans|7511.085|32490.0|38380.5|0.0|32490.0|MONDAY|5|Y|1|0.0|||XAP|Refused|-801|Cash through the bank|LIMIT|Spouse, partner|Repeater|Consumer Electronics|POS|XNA|Country-wide|50|Consumer electronics|6.0|high|POS household with interest||||||
1151694|161591|Consumer loans|39111.075|214380.0|209497.5|13500.0|214380.0|FRIDAY|12|Y|1|0.0659322515845571|||XAP|Approved|-989|Cash through the bank|XAP|Family|Repeater|Audio/Video|POS|XNA|Country-wide|50|Consumer electronics|6.0|middle|POS household with interest|365243.0|-958.0|-808.0|-808.0|-804.0|0.0
1692577|125157|Consumer loans|9946.485|99319.5|109809.0|0.0|99319.5|SATURDAY|9|Y|1|0.0|||XAP|Approved|-392|XNA|XAP|Unaccompanied|Repeater|Audio/Video|POS|XNA|Regional / Local|136|Consumer electronics|12.0|low_action|POS household without interest|365243.0|-362.0|-32.0|-242.0|-237.0|1.0
2740958|281589|Consumer loans|6752.25|35955.0|33115.5|4500.0|35955.0|THURSDAY|9|Y|1|0.13028961707033246|||XAP|Approved|-983|Cash through the bank|XAP|Unaccompanied|Refreshed|Mobile|POS|XNA|Country-wide|40|Connectivity|6.0|high|POS mobile with interest|365243.0|-952.0|-802.0|-802.0|-783.0|0.0
2317570|258076|Consumer loans|4539.285|18360.0|21834.0|0.0|18360.0|WEDNESDAY|10|Y|1|0.0|||XAP|Approved|-795|Cash through the bank|XAP|Unaccompanied|Repeater|Mobile|POS|XNA|Country-wide|40|Connectivity|6.0|high|POS mobile with interest|365243.0|-764.0|-614.0|-614.0|-609.0|0.0
1366380|247572|Consumer loans||17950.5|17950.5|0.0|17950.5|MONDAY|19|Y|1|0.0|||XAP|Unused offer|-1141|Cash through the bank|CLIENT||Repeater|Mobile|XNA|XNA|Country-wide|25|Connectivity||XNA|POS mobile with interest||||||
2319873|188414|Consumer loans|3560.715|71356.5|76410.0|7573.5|71356.5|FRIDAY|17|Y|1|0.09821250602796976|||XAP|Approved|-2594|Cash through the bank|XAP|Unaccompanied|Repeater|Consumer Electronics|POS|XNA|Country-wide|1535|Consumer electronics|24.0|low_action|POS household without interest|365243.0|-2563.0|-1873.0|-1933.0|-1927.0|1.0
2057616|304455|Consumer loans|15542.73|129505.5|131112.0|9000.0|129505.5|WEDNESDAY|12|Y|1|0.06995702139587028|||XAP|Approved|-406|Cash through the bank|XAP||New|Consumer Electronics|POS|XNA|Country-wide|800|Consumer electronics|10.0|middle|POS household with interest|365243.0|-374.0|-104.0|-104.0|-101.0|0.0
2675386|118974|Consumer loans|6899.49|55831.5|60745.5|0.0|55831.5|SUNDAY|13|Y|1|0.0|||XAP|Approved|-302|Cash through the bank|XAP|Unaccompanied|New|Mobile|POS|XNA|Country-wide|182|Connectivity|10.0|low_normal|POS mobile without interest|365243.0|-272.0|-2.0|365243.0|365243.0|1.0
2621158|281470|Revolving loans|14625.0|292500.0|292500.0||292500.0|FRIDAY|17|Y|1||||XAP|Refused|-231|XNA|HC|Unaccompanied|Repeater|XNA|Cards|x-sell|Country-wide|182|Connectivity|0.0|XNA|Card X-Sell||||||
2586290|447421|Consumer loans|10274.04|126544.5|101232.0|25312.5|126544.5|SATURDAY|15|Y|1|0.21784916481051048|||XAP|Approved|-243|Cash through the bank|XAP|Unaccompanied|Repeater|Mobile|POS|XNA|Country-wide|212|Connectivity|12.0|middle|POS mobile with interest|365243.0|-212.0|118.0|-122.0|-116.0|0.0
1475738|235737|Cash loans|75897.63|2025000.0|2241513.0||2025000.0|THURSDAY|19|Y|1||||XNA|Approved|-524|Cash through the bank|XAP||Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|54.0|low_normal|Cash X-Sell: low||||||
2600277|256517|Cash loans||0.0|0.0|||FRIDAY|17|Y|1||||XNA|Canceled|-218|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1371540|200721|Revolving loans|11250.0|225000.0|225000.0||225000.0|FRIDAY|15|Y|1||||XAP|Approved|-847|XNA|XAP||Repeater|XNA|Cards|walk-in|Credit and cash offices|-1|XNA|0.0|XNA|Card Street|365243.0|365243.0|365243.0|365243.0|-171.0|0.0
2261993|299391|Revolving loans||0.0|0.0|||FRIDAY|13|Y|1||||XAP|Canceled|-161|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Card Street||||||
2664403|163660|Cash loans|9804.285|67500.0|82611.0||67500.0|SATURDAY|10|Y|1||||Car repairs|Approved|-766|Cash through the bank|XAP||New|XNA|Cash|walk-in|Credit and cash offices|-1|XNA|12.0|high|Cash Street: high|365243.0|-736.0|-406.0|-466.0|-464.0|1.0
1912041|253391|Cash loans|5294.43|45000.0|47970.0||45000.0|SUNDAY|17|Y|1||||XNA|Refused|-774|Cash through the bank|HC|Unaccompanied|Refreshed|XNA|Cash|x-sell|Regional / Local|333|Consumer electronics|12.0|high|Cash X-Sell: high||||||
2609003|371440|Consumer loans|11688.255|93415.5|101637.0|0.0|93415.5|FRIDAY|10|Y|1|0.0|||XAP|Approved|-598|Cash through the bank|XAP|Unaccompanied|New|Computers|POS|XNA|Regional / Local|333|Consumer electronics|10.0|middle|POS household with interest|365243.0|-567.0|-297.0|-357.0|-344.0|0.0
1399859|197343|Consumer loans|4818.78|106398.0|106398.0|0.0|106398.0|SATURDAY|14|Y|1|0.0|||XAP|Refused|-409|Cash through the bank|LIMIT||Repeater|Computers|POS|XNA|Country-wide|1000|Consumer electronics|24.0|low_action|POS household without interest||||||
2741581|383645|Cash loans|47407.5|450000.0|450000.0||450000.0|MONDAY|13|Y|1||||XNA|Approved|-557|Cash through the bank|XAP||Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|12.0|middle|Cash X-Sell: middle|365243.0|-527.0|-197.0|-197.0|-194.0|0.0
2563201|290976|Cash loans|49299.435|450000.0|504711.0||450000.0|THURSDAY|15|Y|1||||XNA|Approved|-1042|Cash through the bank|XAP|Unaccompanied|Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|12.0|low_normal|Cash X-Sell: low|365243.0|-1012.0|-682.0|-742.0|-738.0|1.0
2586409|446260|Cash loans||0.0|0.0|||THURSDAY|16|Y|1||||XNA|Canceled|-209|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1760006|283527|Cash loans|14730.66|72000.0|72000.0||72000.0|WEDNESDAY|15|Y|1||||XNA|Approved|-183|XNA|XAP|Unaccompanied|Repeater|XNA|Cash|x-sell|Contact center|-1|XNA|6.0|high|Cash X-Sell: high|365243.0|-153.0|-3.0|-3.0|365243.0|0.0
2076528|431383|Consumer loans|3725.505|26370.0|29983.5|2637.0|26370.0|SATURDAY|16|Y|1|0.08804073289105706|||XAP|Approved|-1773|Cash through the bank|XAP|Unaccompanied|New|Mobile|POS|XNA|Country-wide|24|Connectivity|12.0|high|POS mobile with interest|365243.0|-1742.0|-1412.0|-1472.0|-1464.0|0.0
2511538|435636|Cash loans||0.0|0.0|||THURSDAY|15|Y|1||||XNA|Canceled|-152|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1024150|374768|Cash loans||0.0|0.0|||FRIDAY|11|Y|1||||XNA|Canceled|-19|XNA|XAP||Refreshed|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
2326929|221146|Revolving loans||0.0|0.0|||MONDAY|14|Y|1||||XAP|Canceled|-295|XNA|XAP||Refreshed|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Card Street||||||
1074341|137179|Cash loans||0.0|0.0|||FRIDAY|16|Y|1||||XNA|Canceled|-237|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1760015|269239|Cash loans||0.0|0.0|||WEDNESDAY|8|Y|1||||XNA|Canceled|-207|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
2810623|369919|Cash loans||0.0|0.0|||WEDNESDAY|10|Y|1||||XNA|Canceled|-419|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
2433280|407487|Cash loans||0.0|0.0|||TUESDAY|11|Y|1||||XNA|Canceled|-181|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
2325707|353086|Cash loans||0.0|0.0|||FRIDAY|16|Y|1||||XNA|Canceled|-388|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
2345724|197444|Cash loans|10030.5|360000.0|360000.0||360000.0|THURSDAY|10|Y|1||||XNA|Approved|-208|Cash through the bank|XAP|Unaccompanied|Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|60.0|low_normal|Cash X-Sell: low|365243.0|-178.0|1592.0|365243.0|365243.0|0.0
2734980|348760|Cash loans||0.0|0.0|||SUNDAY|8|Y|1||||XNA|Canceled|-405|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1816690|372970|Consumer loans|10483.65|104850.0|93838.5|11011.5|104850.0|SATURDAY|11|Y|1|0.11437791650409675|||XAP|Approved|-132|Cash through the bank|XAP||Repeater|Medicine|POS|XNA|Stone|250|XNA|10.0|low_normal|POS industry with interest|365243.0|-99.0|171.0|365243.0|365243.0|0.0
2203764|205177|Cash loans|34423.11|450000.0|491580.0||450000.0|WEDNESDAY|17|Y|1||||XNA|Approved|-880|Cash through the bank|XAP|Family|Repeater|XNA|Cash|x-sell|AP+ (Cash loan)|5|XNA|24.0|high|Cash X-Sell: high|365243.0|-850.0|-160.0|-730.0|-720.0|1.0
1946657|427532|Consumer loans|7795.125|147195.0|172840.5|0.0|147195.0|SUNDAY|11|Y|1|0.0|||XAP|Approved|-1327|Cash through the bank|XAP|Unaccompanied|New|Audio/Video|POS|XNA|Country-wide|2078|Consumer electronics|24.0|low_action|POS household without interest|365243.0|-1296.0|-606.0|-996.0|-990.0|0.0
1894597|442603|Consumer loans|2334.42|39996.0|45153.0|0.0|39996.0|MONDAY|17|Y|1|0.0|||XAP|Approved|-1071|Cash through the bank|XAP|Children|Repeater|Photo / Cinema Equipment|POS|XNA|Country-wide|2078|Consumer electronics|24.0|low_normal|POS household with interest|365243.0|-1040.0|-350.0|-350.0|-344.0|0.0
1385097|369423|Consumer loans|2652.705|19611.0|14170.5|6111.0|19611.0|FRIDAY|12|Y|1|0.3281529741614055|||XAP|Approved|-1525|Cash through the bank|XAP|Spouse, partner|Repeater|Audio/Video|POS|XNA|Country-wide|2078|Consumer electronics|6.0|middle|POS household with interest||||||
1973766|282755|Consumer loans|13150.575|249309.0|287482.5|0.0|249309.0|FRIDAY|17|Y|1|0.0|||XAP|Approved|-1268|Cash through the bank|XAP|Unaccompanied|Repeater|Audio/Video|POS|XNA|Country-wide|2078|Consumer electronics|24.0|low_action|POS household without interest|365243.0|-1237.0|-547.0|-937.0|-930.0|0.0
1241792|404105|Consumer loans|23343.03|132480.0|125527.5|13248.0|132480.0|SATURDAY|16|Y|1|0.10396846967682592|||XAP|Approved|-33|Cash through the bank|XAP|Family|Refreshed|Consumer Electronics|POS|XNA|Regional / Local|100|Consumer electronics|6.0|middle|POS household with interest|365243.0|-3.0|147.0|365243.0|365243.0|1.0
1395742|451154|Consumer loans|6087.42|66649.5|59980.5|6669.0|66649.5|FRIDAY|13|Y|1|0.10897527022299147|||XAP|Approved|-600|Cash through the bank|XAP||Repeater|Mobile|POS|XNA|Country-wide|30|Connectivity|12.0|middle|POS mobile with interest|365243.0|-562.0|-232.0|-352.0|-346.0|0.0
2729966|216189|Consumer loans|30041.055|325588.5|293026.5|32562.0|325588.5|SUNDAY|18|Y|1|0.10891962763370992|||XAP|Approved|-514|Cash through the bank|XAP|Unaccompanied|New|Clothing and Accessories|POS|XNA|Stone|40|Clothing|12.0|middle|POS industry with interest|365243.0|-484.0|-154.0|-184.0|-178.0|0.0
2334831|430368|Cash loans|58021.695|877500.0|1031193.0||877500.0|THURSDAY|16|Y|1||||XNA|Approved|-970|Cash through the bank|XAP|Unaccompanied|Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|30.0|middle|Cash X-Sell: middle|365243.0|-940.0|-70.0|-70.0|-57.0|1.0
2012211|282125|Revolving loans|33750.0|0.0|675000.0|||FRIDAY|17|Y|1||||XAP|Refused|-568|XNA|SCOFR||Repeater|XNA|Cards|x-sell|Credit and cash offices|-1|XNA|0.0|XNA|Card X-Sell||||||
1299881|454363|Cash loans|40933.575|688500.0|783018.0||688500.0|WEDNESDAY|12|Y|1||||XNA|Refused|-456|Cash through the bank|HC|Unaccompanied|Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|48.0|high|Cash X-Sell: high||||||
2709276|342991|Revolving loans|45000.0|900000.0|900000.0||900000.0|TUESDAY|13|Y|1||||XAP|Approved|-511|XNA|XAP||Repeater|XNA|Cards|x-sell|Credit and cash offices|-1|XNA|0.0|XNA|Card X-Sell|-479.0|-435.0|365243.0|365243.0|365243.0|0.0
2742815|244966|Cash loans||0.0|0.0|||WEDNESDAY|12|Y|1||||XNA|Canceled|-183|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
2796269|240839|Cash loans||0.0|0.0|||WEDNESDAY|13|Y|1||||XNA|Refused|-223|XNA|HC||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1981960|306707|Cash loans|10678.005|225000.0|269550.0||225000.0|WEDNESDAY|11|Y|1||||Building a house or an annex|Refused|-13|Cash through the bank|SCOFR|Unaccompanied|Repeater|XNA|Cash|walk-in|Credit and cash offices|-1|XNA|36.0|low_normal|Cash Street: low||||||
1275378|433914|Revolving loans||0.0|0.0|||TUESDAY|17|Y|1||||XAP|Canceled|-314|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Card Street||||||
1009986|360684|Consumer loans|11451.735|57600.0|60642.0|0.0|57600.0|TUESDAY|14|Y|1|0.0|||XAP|Approved|-693|Cash through the bank|XAP|Unaccompanied|New|Furniture|POS|XNA|Stone|95|Furniture|6.0|middle|POS industry with interest|365243.0|-662.0|-512.0|-512.0|-506.0|0.0
1519873|258336|Consumer loans|4699.035|46530.0|46300.5|4653.0|46530.0|WEDNESDAY|12|Y|1|0.09945420824869734|||XAP|Approved|-621|Cash through the bank|XAP|Unaccompanied|Refreshed|Mobile|POS|XNA|Country-wide|31|Connectivity|12.0|middle|POS mobile with interest|365243.0|-590.0|-260.0|-260.0|-252.0|0.0
2535384|394386|Consumer loans|3995.505|28750.5|19750.5|9000.0|28750.5|SUNDAY|8|Y|1|0.3409268771610295|||XAP|Approved|-953|Cash through the bank|XAP||Repeater|Audio/Video|POS|XNA|Country-wide|20|Connectivity|6.0|high|POS mobile with interest|365243.0|-914.0|-764.0|-854.0|-827.0|0.0
2443751|210583|Cash loans||0.0|0.0|||MONDAY|18|Y|1||||XNA|Canceled|-201|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Cash||||||
1524716|273901|Revolving loans||0.0|0.0|||MONDAY|14|Y|1||||XAP|Canceled|-395|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Card Street||||||
2081217|281586|Revolving loans||0.0|0.0|||THURSDAY|14|Y|1||||XAP|Canceled|-84|XNA|XAP||Repeater|XNA|XNA|XNA|Credit and cash offices|-1|XNA||XNA|Card Street||||||
2522811|120854|Revolving loans|33750.0|0.0|675000.0|||THURSDAY|18|Y|1||||XAP|Approved|-879|XNA|XAP||Repeater|XNA|Cards|x-sell|Credit and cash offices|-1|XNA|0.0|XNA|Card X-Sell|-332.0|-297.0|365243.0|365243.0|365243.0|0.0
2408628|320444|Cash loans|55973.295|1035000.0|1110141.0||1035000.0|FRIDAY|16|Y|1||||XNA|Approved|-953|Cash through the bank|XAP|Unaccompanied|Repeater|XNA|Cash|x-sell|Credit and cash offices|-1|XNA|30.0|middle|Cash X-Sell: middle|365243.0|-923.0|-53.0|-53.0|-48.0|1.0
1851241|415052|Consumer loans|9675.855|46476.0|48775.5|0.0|46476.0|TUESDAY|16|Y|1|0.0|||XAP|Approved|-1368|Cash through the bank|XAP|Children|New|Consumer Electronics|POS|XNA|Country-wide|3500|Consumer electronics|6.0|high|POS household with interest|365243.0|-1337.0|-1187.0|-1187.0|-1181.0|0.0
2030030|133853|Consumer loans|7253.055|104809.5|121410.0|0.0|104809.5|SATURDAY|14|Y|1|0.0|||XAP|Approved|-346|Cash through the bank|XAP||Repeater|Audio/Video|POS|XNA|Country-wide|3500|Consumer electronics|18.0|low_action|POS household without interest|365243.0|-315.0|195.0|365243.0|365243.0|0.0
1935914|191576|Consumer loans||23400.0|23400.0||23400.0|SATURDAY|9|Y|1||||XAP|Unused offer|-1412|Cash through the bank|CLIENT|Family|Repeater|Audio/Video|XNA|XNA|Country-wide|3500|Consumer electronics||XNA|POS household with interest||||||
1457539|307992|Consumer loans||113215.5|113215.5|0.0|113215.5|SUNDAY|12|Y|1|0.0|||XAP|Unused offer|-520|Cash through the bank|CLIENT||New|Computers|XNA|XNA|Country-wide|25|Connectivity||XNA|POS mobile with interest||||||
